horizon,arm,origin,seed,val_RMSE,test_RMSE,test_MAE,pers_RMSE,pers_MAE,elapsed
12,physics,0.7,1,19.00897789001465,25.176816940307617,8.940825462341309,26.780176162719727,9.495238304138184,117.2
12,physics,0.55,1,26.410131454467773,84.19110870361328,37.875064849853516,80.59225463867188,35.93913650512695,415.6
12,direct,0.75,0,34.67921447753906,28.82605743408203,14.847578048706055,25.588727951049805,11.051666259765625,33.9
12,direct,0.75,1,32.733001708984375,30.103673934936523,15.981513023376465,25.588727951049805,11.051666259765625,68.6
12,physics,0.75,0,24.82571029663086,24.627099990844727,10.670284271240234,25.588727951049805,11.051666259765625,152.0
12,direct,0.75,2,32.76420211791992,25.61957550048828,14.564050674438477,25.588727951049805,11.051666259765625,76.0
12,physics,0.7,2,18.641666412353516,24.37196159362793,8.805760383605957,26.780176162719727,9.495238304138184,247.8
12,physics,0.75,1,24.50729751586914,25.75221061706543,11.017289161682129,25.588727951049805,11.051666259765625,245.0
12,physics,0.8,0,23.68313980102539,27.318466186523438,16.621248245239258,28.9722957611084,17.055431365966797,150.1
12,direct,0.8,1,25.634456634521484,25.82954978942871,16.6480655670166,28.9722957611084,17.055431365966797,54.4
12,direct,0.8,0,24.73528480529785,35.88089370727539,19.534883499145508,28.9722957611084,17.055431365966797,112.9
12,physics,0.75,2,24.467418670654297,26.002201080322266,11.174664497375488,25.588727951049805,11.051666259765625,274.8
12,physics,0.8,2,23.863697052001953,28.103391647338867,16.90996551513672,28.9722957611084,17.055431365966797,188.4
12,physics,0.8,1,23.782615661621094,27.34113311767578,16.663188934326172,28.9722957611084,17.055431365966797,215.3
12,direct,0.8,2,26.009510040283203,31.657703399658203,19.016977310180664,28.9722957611084,17.055431365966797,81.7
12,direct,0.85,0,27.463857650756836,25.687395095825195,17.19756507873535,27.115692138671875,17.496944427490234,39.4
12,direct,0.85,1,24.774864196777344,24.927871704101562,17.199132919311523,27.115692138671875,17.496944427490234,54.0
12,direct,0.85,2,23.85270118713379,21.737728118896484,16.000778198242188,27.115692138671875,17.496944427490234,59.0
12,physics,0.85,0,26.98470687866211,24.71815299987793,15.809272766113281,27.115692138671875,17.496944427490234,183.1
12,direct,0.9,0,26.214492797851562,81.15464782714844,42.998435974121094,50.39900207519531,25.860122680664062,38.3
12,physics,0.85,1,27.2894229888916,25.014633178710938,15.98235034942627,27.115692138671875,17.496944427490234,245.4
12,physics,0.9,0,25.0222110748291,55.26778030395508,28.312475204467773,50.39900207519531,25.860122680664062,175.3
12,direct,0.9,1,24.631301879882812,76.69554901123047,39.088539123535156,50.39900207519531,25.860122680664062,37.4
12,physics,0.85,2,27.718774795532227,26.214231491088867,16.712846755981445,27.115692138671875,17.496944427490234,278.1
12,direct,0.9,2,22.643537521362305,66.2313461303711,32.25956726074219,50.39900207519531,25.860122680664062,36.7
12,physics,0.9,2,26.108787536621094,49.834327697753906,25.94113540649414,50.39900207519531,25.860122680664062,184.0
12,physics,0.9,1,25.15070915222168,51.44588851928711,26.323204040527344,50.39900207519531,25.860122680664062,202.1
