arm,origin,seed,val_RMSE,test_RMSE,test_MAE,bias,pers_RMSE,pers_MAE,elapsed,cap_c,damp_alpha
damped,0.75,2,15.526225090026855,27.64487075805664,10.817788124084473,-2.6465225219726562,29.548784255981445,10.929333686828613,484.7,,0.32106873393058777
waning52_capped,0.5,0,25.127613067626953,20.815853118896484,11.528700828552246,-0.8205132484436035,20.270668029785156,11.64380931854248,127.4,0.4284822642803192,
waning52_capped,0.5,1,24.943084716796875,20.57577133178711,11.453889846801758,-0.5539405345916748,20.270668029785156,11.64380931854248,119.0,0.4372672140598297,
damped,0.9,0,29.17220115661621,31.779949188232422,16.14137077331543,-4.508298397064209,32.859073638916016,17.084285736083984,242.8,,0.43850693106651306
damped,0.9,1,29.169857025146484,31.779998779296875,16.141448974609375,-4.508719444274902,32.859073638916016,17.084285736083984,238.7,,0.4386850893497467
damped,0.9,2,29.172096252441406,31.7800350189209,16.14142417907715,-4.508660793304443,32.859073638916016,17.084285736083984,224.7,,0.438576877117157
waning52_capped,0.55,0,20.377304077148438,48.54741668701172,22.922277450561523,-12.147350311279297,45.49281311035156,22.0325927734375,108.8,0.4407844841480255,
waning52_capped,0.55,1,19.99793815612793,48.27496337890625,22.845775604248047,-12.150914192199707,45.49281311035156,22.0325927734375,110.5,0.43724268674850464,
waning52_capped,0.6,0,43.9641227722168,56.689720153808594,29.960994720458984,19.79842185974121,48.71405792236328,23.578571319580078,84.0,0.46292978525161743,
waning52_capped,0.5,2,24.987701416015625,20.7333927154541,11.803123474121094,0.46732109785079956,20.270668029785156,11.64380931854248,255.8,0.30861416459083557,
waning52_capped,0.6,1,43.50642013549805,54.73362731933594,28.76986312866211,17.89784049987793,48.71405792236328,23.578571319580078,89.2,0.45970726013183594,
waning52_capped,0.55,2,20.29652976989746,47.69847869873047,22.68828773498535,-10.888952255249023,45.49281311035156,22.0325927734375,147.9,0.39545685052871704,
waning52_capped,0.6,2,43.78556823730469,58.26224899291992,30.799903869628906,20.888559341430664,48.71405792236328,23.578571319580078,86.8,0.4629364311695099,
waning52_capped,0.65,1,48.627662658691406,11.808749198913574,5.317349433898926,0.15597449243068695,11.340509414672852,5.244285583496094,113.0,0.44518375396728516,
waning52_capped,0.7,2,11.73672103881836,16.121912002563477,6.629090785980225,1.1370937824249268,15.7118501663208,6.584691524505615,176.8,0.38864266872406006,
waning52_capped,0.65,0,47.14765548706055,12.290217399597168,5.475247859954834,0.514483630657196,11.340509414672852,5.244285583496094,290.6,0.3088626563549042,
waning52_capped,0.75,1,15.851146697998047,27.5411319732666,10.789786338806152,-1.6392072439193726,29.548784255981445,10.929333686828613,122.7,0.44543442130088806,
waning52_capped,0.8,0,27.11248207092285,21.626625061035156,12.838340759277344,0.769034743309021,21.96774673461914,12.876190185546875,123.7,0.44889888167381287,
waning52_capped,0.75,2,15.909607887268066,28.880977630615234,10.832183837890625,-0.49735262989997864,29.548784255981445,10.929333686828613,228.4,0.3513682782649994,
waning52_capped,0.7,1,11.552783966064453,15.726323127746582,6.485771656036377,0.7436074018478394,15.7118501663208,6.584691524505615,468.5,0.3969041109085083,
waning52_capped,0.75,0,15.6345853805542,29.179912567138672,10.976961135864258,-0.7116300463676453,29.548784255981445,10.929333686828613,411.0,0.2749810516834259,
waning52_capped,0.65,2,46.03388214111328,11.707615852355957,5.361374855041504,0.45791882276535034,11.340509414672852,5.244285583496094,499.5,0.3560524880886078,
waning52_capped,0.7,0,11.279601097106934,16.113018035888672,6.629940509796143,1.028382658958435,15.7118501663208,6.584691524505615,513.8,0.24794939160346985,
waning52_capped,0.8,1,26.887243270874023,21.442461013793945,12.7340726852417,0.4052090644836426,21.96774673461914,12.876190185546875,79.1,0.4454416036605835,
waning52_capped,0.85,0,21.517995834350586,30.626346588134766,14.99373722076416,-3.4119484424591064,30.963665008544922,15.473650932312012,84.4,0.4450485408306122,
waning52_capped,0.8,2,26.989639282226562,21.67300033569336,12.81093978881836,0.5801631212234497,21.96774673461914,12.876190185546875,88.8,0.4411369860172272,
waning52_capped,0.85,1,21.406509399414062,30.590377807617188,14.943490982055664,-3.5721099376678467,30.963665008544922,15.473650932312012,97.2,0.4415159523487091,
waning52_capped,0.85,2,21.55895233154297,30.645647048950195,14.99657154083252,-3.4059715270996094,30.963665008544922,15.473650932312012,97.1,0.4451451003551483,
waning52_capped,0.9,0,29.480833053588867,32.063392639160156,16.824434280395508,-0.2642560303211212,32.859073638916016,17.084285736083984,103.0,0.44110673666000366,
waning52_capped,0.9,1,29.470094680786133,32.04846954345703,16.805923461914062,-0.36013492941856384,32.859073638916016,17.084285736083984,98.4,0.441538006067276,
waning52_capped,0.9,2,29.547489166259766,32.206687927246094,16.949783325195312,0.216164231300354,32.859073638916016,17.084285736083984,73.1,0.4451720416545868,
