arm,origin,seed,val_RMSE,test_RMSE,test_MAE,bias,pers_RMSE,pers_MAE,elapsed,damp_alpha
oracle_full,0.55,2,20.23198127746582,44.77752685546875,21.277143478393555,-6.780513763427734,45.49281311035156,22.0325927734375,29.5,0.49924999475479126
oracle_full,0.6,0,42.91968536376953,62.28786087036133,31.504610061645508,22.555294036865234,48.71405792236328,23.578571319580078,30.7,0.49924999475479126
oracle_full,0.6,1,42.864227294921875,62.50804901123047,31.569189071655273,22.60697364807129,48.71405792236328,23.578571319580078,30.4,0.49924999475479126
oracle_full,0.6,2,42.882293701171875,62.4017219543457,31.5323543548584,22.57832145690918,48.71405792236328,23.578571319580078,31.2,0.49924999475479126
oracle_full,0.65,0,47.57611846923828,11.358254432678223,5.047929763793945,-0.2520981431007385,11.340509414672852,5.244285583496094,50.0,0.47291553020477295
oracle_full,0.65,1,48.42694091796875,11.468262672424316,5.2237629890441895,0.451274573802948,11.340509414672852,5.244285583496094,46.7,0.48166441917419434
oracle_full,0.65,2,48.2119255065918,11.470558166503906,5.243323802947998,0.5240916609764099,11.340509414672852,5.244285583496094,47.5,0.48147499561309814
oracle_full,0.7,1,11.67732048034668,14.755044937133789,6.170257568359375,-0.7017602324485779,15.7118501663208,6.584691524505615,48.6,0.4821324050426483
oracle_full,0.7,2,11.523675918579102,14.624619483947754,6.1297736167907715,-0.7879774570465088,15.7118501663208,6.584691524505615,72.6,0.45834049582481384
oracle_full,0.75,1,15.170625686645508,27.141660690307617,10.831695556640625,-1.9998629093170166,29.548784255981445,10.929333686828613,72.0,0.48213595151901245
oracle_full,0.75,2,15.074248313903809,26.977230072021484,10.79443645477295,-2.3666203022003174,29.548784255981445,10.929333686828613,97.0,0.46462854743003845
oracle_full,0.8,0,26.505720138549805,20.476987838745117,12.275163650512695,-1.6341559886932373,21.96774673461914,12.876190185546875,97.2,0.4739815592765808
oracle_full,0.8,1,26.550785064697266,20.540597915649414,12.297486305236816,-1.2483983039855957,21.96774673461914,12.876190185546875,90.6,0.4796906113624573
oracle_full,0.8,2,26.311542510986328,20.47662925720215,12.275016784667969,-1.6353565454483032,21.96774673461914,12.876190185546875,88.8,0.4739496409893036
oracle_full,0.7,0,11.693011283874512,14.855825424194336,6.2524847984313965,-1.1947449445724487,15.7118501663208,6.584691524505615,203.8,0.38675573468208313
oracle_full,0.85,0,20.572952270507812,30.404170989990234,14.73662281036377,-4.851408004760742,30.963665008544922,15.473650932312012,76.9,0.4710589349269867
oracle_full,0.85,1,20.620458602905273,30.45823860168457,14.768445014953613,-4.275032043457031,30.963665008544922,15.473650932312012,67.7,0.47710007429122925
oracle_full,0.85,2,20.572111129760742,30.40862464904785,14.686617851257324,-4.7243218421936035,30.963665008544922,15.473650932312012,63.3,0.47103258967399597
oracle_full,0.9,0,29.230337142944336,32.07758331298828,16.28160285949707,-5.235784530639648,32.859073638916016,17.084285736083984,58.6,0.4585597515106201
oracle_full,0.9,2,29.206710815429688,31.467588424682617,16.125198364257812,-3.4507205486297607,32.859073638916016,17.084285736083984,59.7,0.43636810779571533
oracle_full,0.75,0,14.972413063049316,28.27722930908203,10.892478942871094,-1.561791181564331,29.548784255981445,10.929333686828613,251.9,0.47390106320381165
oracle_full,0.9,1,29.099809646606445,31.77288818359375,16.343101501464844,-3.6122913360595703,32.859073638916016,17.084285736083984,86.3,0.4743470847606659
