label,fold,origin,seed,model,lambda_phys,gate_sigma,n_test_weeks,horizon,rmse,mae,smape,mape,peak_week_err,n_obs,config,use_adaptive,hidden,epochs
adaptive_lam0.01,3,0.85,0,AdaptiveGCN,0.01,0.8709824681282043,68,2,64.48200892350143,15.851458100213957,79.70704786676558,195.66958904660808,4.16,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,3,0.85,0,AdaptiveGCN,0.01,0.8709824681282043,68,3,64.91230929574415,17.460877153778984,86.15238761810069,270.88153090149,5.16,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,3,0.85,0,AdaptiveGCN,0.01,0.8709824681282043,68,0,64.93654315750375,16.09817139615789,80.93893254782023,236.54086240456587,nan,5100,adaptive_lam0.01,True,64,120
adaptive_lam0.01,3,0.85,1,AdaptiveGCN,0.01,0.8472999334335327,68,1,67.80878579679298,15.481249393921976,82.6895177279859,260.9075158518568,1.0,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,3,0.85,1,AdaptiveGCN,0.01,0.8472999334335327,68,2,68.85956182852121,16.607797220982167,84.9206091365924,216.4465143247329,2.0,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,3,0.85,1,AdaptiveGCN,0.01,0.8472999334335327,68,3,66.97784845703907,17.817432214845354,88.29869034994233,286.96807780062585,5.08,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,3,0.85,1,AdaptiveGCN,0.01,0.8472999334335327,68,0,67.8864318068183,16.635492943249833,85.30293907150688,254.80312908750463,nan,5100,adaptive_lam0.01,True,64,120
adaptive_lam0.01,3,0.85,2,AdaptiveGCN,0.01,0.8991080522537231,68,1,63.53443816069448,14.736183966322928,78.17643203657072,231.55694030838364,3.16,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,3,0.85,2,AdaptiveGCN,0.01,0.8991080522537231,68,2,63.33652967541696,15.78550117155787,84.3212807383004,192.50356523307343,4.16,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,3,0.85,2,AdaptiveGCN,0.01,0.8991080522537231,68,3,62.59148075641488,17.182300587433858,89.19649054642163,254.15939835651255,5.28,1700,adaptive_lam0.01,True,64,120
adaptive_lam0.01,3,0.85,2,AdaptiveGCN,0.01,0.8991080522537231,68,0,63.15545446752993,15.901328575104884,83.89806777376425,226.09849545378236,nan,5100,adaptive_lam0.01,True,64,120
adaptive_lam0.1,1,0.55,0,AdaptiveGCN,0.1,0.9616860151290894,68,1,24.148391699087327,12.076951170653818,51.82924300960309,62.24135076090971,5.5,1700,adaptive_lam0.1,True,64,120
adaptive_lam0.1,1,0.55,0,AdaptiveGCN,0.1,0.9616860151290894,68,2,28.309460822013737,13.836440711907686,55.789695055075086,63.933602695761884,5.041666666666667,1700,adaptive_lam0.1,True,64,120
adaptive_lam0.1,1,0.55,0,AdaptiveGCN,0.1,0.9616860151290894,68,3,33.01269655297489,15.881971278563142,58.815509468157586,65.90511960860643,3.875,1700,adaptive_lam0.1,True,64,120
adaptive_lam0.1,1,0.55,0,AdaptiveGCN,0.1,0.9616860151290894,68,0,28.719380955401764,13.931787720374881,55.478149177611925,64.02594996818983,nan,5100,adaptive_lam0.1,True,64,120
adaptive_lam0.1,1,0.55,1,AdaptiveGCN,0.1,0.9843898415565491,68,1,25.470098213688622,12.828723023454744,53.061736716441445,65.77106940477483,7.125,1700,adaptive_lam0.1,True,64,120
adaptive_lam0.1,1,0.55,1,AdaptiveGCN,0.1,0.9843898415565491,68,2,32.773043974887,15.8179433500575,60.98159310904083,67.2622513503024,8.625,1700,adaptive_lam0.1,True,64,120
adaptive_lam0.1,1,0.55,1,AdaptiveGCN,0.1,0.9843898415565491,68,3,37.860574521122395,17.843518913747634,63.11266469903488,65.58425009178103,10.583333333333334,1700,adaptive_lam0.1,True,64,120
adaptive_lam0.1,1,0.55,1,AdaptiveGCN,0.1,0.9843898415565491,68,0,32.43568722597732,15.496728429086627,59.05199817483905,66.20589473603063,nan,5100,adaptive_lam0.1,True,64,120
adaptive_lam0.1,1,0.55,2,AdaptiveGCN,0.1,0.9810765981674194,68,1,27.013629075802918,12.833259893864229,52.99247132439782,56.39277875226058,11.875,1700,adaptive_lam0.1,True,64,120
adaptive_lam0.1,1,0.55,2,AdaptiveGCN,0.1,0.9810765981674194,68,2,30.8921425913447,14.537599042870433,56.87889693022965,60.840016956197886,10.208333333333334,1700,adaptive_lam0.1,True,64,120
adaptive_lam0.1,1,0.55,2,AdaptiveGCN,0.1,0.9810765981674194,68,3,36.145745330641084,16.715687982089243,60.66017344856102,61.66784302842859,13.291666666666666,1700,adaptive_lam0.1,True,64,120
adaptive_lam0.1,1,0.55,2,AdaptiveGCN,0.1,0.9810765981674194,68,0,31.573066239209858,14.695515639607969,56.84384723439616,59.632479282789994,nan,5100,adaptive_lam0.1,True,64,120
adaptive_lam0.1,2,0.7,0,AdaptiveGCN,0.1,0.9662942290306091,68,1,38.56599931808247,15.375963474526344,67.75768766488429,61.580444842330216,2.4,1700,adaptive_lam0.1,True,64,120
adaptive_lam0.1,2,0.7,0,AdaptiveGCN,0.1,0.9662942290306091,68,2,49.10466449615422,19.21722357707153,71.0642001244419,72.89594136274924,4.04,1700,adaptive_lam0.1,True,64,120
adaptive_lam0.1,2,0.7,0,AdaptiveGCN,0.1,0.9662942290306091,68,3,59.701647439011055,22.883127339730134,77.04121098614823,86.77996413900664,5.208333333333333,1700,adaptive_lam0.1,True,64,120
adaptive_lam0.1,2,0.7,0,AdaptiveGCN,0.1,0.9662942290306091,68,0,49.87615023106128,19.158771463776002,71.95436625849145,73.71428796099413,nan,5100,adaptive_lam0.1,True,64,120
adaptive_lam0.1,2,0.7,1,AdaptiveGCN,0.1,0.8793354630470276,68,1,30.92747916034496,13.200743695796872,68.70953008194395,57.49481778494774,2.28,1700,adaptive_lam0.1,True,64,120
adaptive_lam0.1,2,0.7,1,AdaptiveGCN,0.1,0.8793354630470276,68,2,38.84286208747656,16.793198057265187,71.26524725428536,69.17744567901386,3.16,1700,adaptive_lam0.1,True,64,120
adaptive_lam0.1,2,0.7,1,AdaptiveGCN,0.1,0.8793354630470276,68,3,48.63903759041162,20.935341333787004,75.7300840463193,90.21219298916803,5.125,1700,adaptive_lam0.1,True,64,120
adaptive_lam0.1,2,0.7,1,AdaptiveGCN,0.1,0.8793354630470276,68,0,40.12909534689999,16.976427695616355,71.90162046084953,72.24640473970258,nan,5100,adaptive_lam0.1,True,64,120
adaptive_lam0.1,2,0.7,2,AdaptiveGCN,0.1,0.9759785532951355,68,1,32.16333844907168,13.373597670746351,66.78163768308733,56.851327702239004,3.04,1700,adaptive_lam0.1,True,64,120
adaptive_lam0.1,2,0.7,2,AdaptiveGCN,0.1,0.9759785532951355,68,2,41.189381743000915,17.266327621949944,71.24586107156571,72.88341323200174,4.16,1700,adaptive_lam0.1,True,64,120
adaptive_lam0.1,2,0.7,2,AdaptiveGCN,0.1,0.9759785532951355,68,3,50.129426900742196,20.830252841008924,78.74556388383431,92.50089055142352,4.791666666666667,1700,adaptive_lam0.1,True,64,120
