arch,increment,origin,seed,RMSE,MAE,n_windows,n_artifact,RMSE_clean,MAE_clean,PICP,MPIW
DCRNN,probabilistic,0.7,2,48.45838165283203,19.425527572631836,68,0,48.45838165283203,19.425527572631836,0.9505882352941176,273.48248291015625
DCRNN,probabilistic,0.85,0,69.46723175048828,16.729034423828125,68,6,22.28667640686035,9.077522277832031,0.909607843137255,89.15410614013672
DCRNN,probabilistic,0.85,1,64.5521469116211,15.951205253601074,68,6,22.07956886291504,9.045207023620605,0.9054901960784314,82.66226959228516
DCRNN,probabilistic,0.85,2,62.09661865234375,15.63931941986084,68,6,22.349342346191406,9.083233833312988,0.9049019607843137,82.88555145263672
STGAT,base,0.55,0,26.892845153808594,13.365520477294922,68,0,26.892845153808594,13.365520477294922,,
STGAT,base,0.55,1,26.902816772460938,13.373226165771484,68,0,26.902816772460938,13.373226165771484,,
STGAT,base,0.55,2,27.220247268676758,13.550928115844727,68,0,27.220247268676758,13.550928115844727,,
STGAT,base,0.7,0,37.684661865234375,16.52651596069336,68,0,37.684661865234375,16.52651596069336,,
STGAT,base,0.7,1,38.95625686645508,17.187253952026367,68,0,38.95625686645508,17.187253952026367,,
STGAT,base,0.7,2,38.90739059448242,17.152666091918945,68,0,38.90739059448242,17.152666091918945,,
STGAT,base,0.85,0,68.06752014160156,16.582870483398438,68,6,22.527433395385742,9.139540672302246,,
STGAT,base,0.85,1,67.95257568359375,16.569355010986328,68,6,22.557214736938477,9.141451835632324,,
STGAT,base,0.85,2,68.18487548828125,16.582809448242188,68,6,22.506662368774414,9.133482933044434,,
STGAT,per_horizon_heads,0.55,0,26.995201110839844,13.430425643920898,68,0,26.995201110839844,13.430425643920898,,
STGAT,per_horizon_heads,0.55,1,26.932756423950195,13.380937576293945,68,0,26.932756423950195,13.380937576293945,,
STGAT,per_horizon_heads,0.55,2,26.904993057250977,13.366617202758789,68,0,26.904993057250977,13.366617202758789,,
STGAT,per_horizon_heads,0.7,0,37.53116226196289,16.533092498779297,68,0,37.53116226196289,16.533092498779297,,
STGAT,per_horizon_heads,0.7,1,38.91655731201172,17.15097427368164,68,0,38.91655731201172,17.15097427368164,,
STGAT,per_horizon_heads,0.7,2,37.65644836425781,16.506731033325195,68,0,37.65644836425781,16.506731033325195,,
STGAT,per_horizon_heads,0.85,0,68.00459289550781,16.563766479492188,68,6,22.48141860961914,9.119327545166016,,
STGAT,per_horizon_heads,0.85,1,67.87592315673828,16.559001922607422,68,6,22.585304260253906,9.138823509216309,,
STGAT,per_horizon_heads,0.85,2,67.87799835205078,16.55230712890625,68,6,22.605361938476562,9.140387535095215,,
STGAT,temporal_attention,0.55,0,26.89712905883789,13.368725776672363,68,0,26.89712905883789,13.368725776672363,,
STGAT,temporal_attention,0.55,1,26.927026748657227,13.379191398620605,68,0,26.927026748657227,13.379191398620605,,
STGAT,temporal_attention,0.55,2,27.47735595703125,13.679580688476562,68,0,27.47735595703125,13.679580688476562,,
STGAT,temporal_attention,0.7,0,37.59868621826172,16.440258026123047,68,0,37.59868621826172,16.440258026123047,,
STGAT,temporal_attention,0.7,1,38.94415283203125,17.177318572998047,68,0,38.94415283203125,17.177318572998047,,
