district,covariate,lag,r
Ratnapura,era5_temperature_2m_mean,11,0.28819458176752666
Ratnapura,era5_temperature_2m_mean,12,0.3008506277128724
Ratnapura,era5_temperature_2m_mean,13,0.2981702563514611
Ratnapura,era5_temperature_2m_mean,14,0.2797324422295722
Ratnapura,era5_temperature_2m_mean,15,0.2714912174949984
Ratnapura,era5_temperature_2m_mean,16,0.2145451372719392
Ratnapura,era5_temperature_2m_mean,17,0.19551992069964771
Ratnapura,era5_temperature_2m_mean,18,0.14699051326902388
Ratnapura,era5_temperature_2m_mean,19,0.10427954846658496
Ratnapura,era5_temperature_2m_mean,20,0.07956781704694393
Trincomalee,era5_temperature_2m_mean,2,-0.29350490407460317
Trincomalee,era5_temperature_2m_mean,3,-0.3299195698903738
Trincomalee,era5_temperature_2m_mean,4,-0.39079801728874214
Trincomalee,era5_temperature_2m_mean,5,-0.4358419412971859
Trincomalee,era5_temperature_2m_mean,6,-0.4540238790712051
Trincomalee,era5_temperature_2m_mean,7,-0.46514902706380656
Trincomalee,era5_temperature_2m_mean,8,-0.4814247935900666
Trincomalee,era5_temperature_2m_mean,9,-0.4843602925233712
Trincomalee,era5_temperature_2m_mean,10,-0.48880378466607055
Trincomalee,era5_temperature_2m_mean,11,-0.46628961724042695
Trincomalee,era5_temperature_2m_mean,12,-0.44625311193874495
Trincomalee,era5_temperature_2m_mean,13,-0.41949946258178966
Trincomalee,era5_temperature_2m_mean,14,-0.39288421872888724
Trincomalee,era5_temperature_2m_mean,15,-0.3516493909656822
Trincomalee,era5_temperature_2m_mean,16,-0.3316309889375362
Trincomalee,era5_temperature_2m_mean,17,-0.31038836952114524
Trincomalee,era5_temperature_2m_mean,18,-0.25468003688965196
Trincomalee,era5_temperature_2m_mean,19,-0.21793646143502246
